,jan_payments,feb_payments,mar_payments,apr_payments,may_payments,jun_payments,jul_payments,aug_payments,sep_payments,oct_payments,nov_payments,dec_payments,jan_mandates,feb_mandates,mar_mandates,apr_mandates,may_mandates,jun_mandates,jul_mandates,aug_mandates,sep_mandates,oct_mandates,nov_mandates,dec_mandates,company
719,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,art/cinema
720,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy
721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,contractor
722,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,art/cinema
723,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,contractor
724,21.0,22.0,22.0,21.0,23.0,23.0,26.0,23.0,26.0,24.0,24.0,22.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,art/cinema
725,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,art/cinema
726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,contractor
727,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,accountancy
728,53.0,55.0,63.0,69.0,81.0,100.0,107.0,124.0,127.0,139.0,151.0,167.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,art/cinema
